OBJECTID,ID,AREA,DISTRICT,MEMBERS,LOCKED,NAME,POPULATION,IDEAL_VALU,DEVIATION,F_DEVIATIO,DISTRICT_L,DISTRICT_I,MULTIPLE_F,Shape__Area,Shape__Length
1,154,28.336536,CHI-20,2, ,Chittenden-20,8817,8574,243,0.028341,CHI-20|2.83%,0,CHI-20|2.83%|8817|2.0,73547947.4683533,51826.5653549168
2,2,381.349762,ESX-ORL,1, ,Essex-Orleans,4609,4287,322,0.075111,ESX-ORL|7.51%,0,ESX-ORL|7.51%|4609|1.0,989884128.540894,166302.666624618
3,4,57.34013,ORL-1,1, ,Orleans-1,4579,4287,292,0.068113,ORL-1|6.81%,0,ORL-1|6.81%|4579|1.0,148833384.500351,64958.9139918823
4,5,7.614507,ORL-2,1, ,Orleans-2,4455,4287,168,0.039188,ORL-2|3.92%,0,ORL-2|3.92%|4455|1.0,19764191.1439972,25809.6876232243
5,8,341.741364,ORL-LAM,2, ,Orleans-Lamoille,8891,8574,317,0.036972,ORL-LAM|3.7%,0,ORL-LAM|3.7%|8891|2.0,886996833.940071,145073.049641407
6,10,185.453262,FRA-5,2, ,Franklin-5,8728,8574,154,0.017961,FRA-5|1.8%,0,FRA-5|1.8%|8728|2.0,481370620.241028,119014.516808982
7,11,224.106888,GI-CHI,2, ,Grand Isle-Chittenden,8675,8574,101,0.01178,GI-CHI|1.18%,0,GI-CHI|1.18%|8675|2.0,581713900.696617,144984.628838037
8,13,382.181366,ESX-CAL,1, ,Essex-Caledonia,4112,4287,-175,-0.040821,ESX-CAL|-4.08%,0,ESX-CAL|-4.08%|4112|1.0,991996216.863716,192517.49871011
9,14,110.393761,ORL-3,1, ,Orleans-3,4271,4287,-16,-0.003732,ORL-3|-0.37%,0,ORL-3|-0.37%|4271|1.0,286530157.219643,82282.3529864254
10,189,156.192459,ORL-4,1, ,Orleans-4,4244,4287,-43,-0.01003,ORL-4|-1%,0,ORL-4|-1%|4244|1.0,405384139.398796,82599.2339221881
11,16,104.499916,FRA-7,1, ,Franklin-7,3994,4287,-293,-0.068346,FRA-7|-6.83%,0,FRA-7|-6.83%|3994|1.0,271230847.144958,77109.2249010523
12,18,100.692154,FRA-4,2, ,Franklin-4,8837,8574,263,0.030674,FRA-4|3.07%,0,FRA-4|3.07%|8837|2.0,261363192.889359,103031.169263249
13,159,53.831547,CHI-25,1, ,Chittenden-25,4197,4287,-90,-0.020994,CHI-25|-2.1%,0,CHI-25|-2.1%|4197|1.0,139718349.52964,50130.2169828726
14,21,114.759567,CAL-ESX,2, ,Caledonia-Essex,9080,8574,506,0.059016,CAL-ESX|5.9%,0,CAL-ESX|5.9%|9080|2.0,297848571.524666,100348.661428704
15,22,187.486282,CAL-3,2, ,Caledonia-3,8429,8574,-145,-0.016912,CAL-3|-1.69%,0,CAL-3|-1.69%|8429|2.0,486612493.588646,124619.072831876
16,23,90.184288,CAL-2,1, ,Caledonia-2,4084,4287,-203,-0.047352,CAL-2|-4.74%,0,CAL-2|-4.74%|4084|1.0,234057234.207245,67111.204798297
17,24,159.298599,LAM-2,2, ,Lamoille-2,8539,8574,-35,-0.004082,LAM-2|-0.41%,0,LAM-2|-0.41%|8539|2.0,413442904.060944,127067.190613235
