county,path,raw_rows,clean_rows,raw_crs,minx,miny,maxx,maxy
Wright,/Users/kunsel03/Desktop/Thesis/data/extracted/Wright/County_Wright_Precincts_REVISED.shp,10,10,EPSG:4326,-93.97177865566628,42.55732159400623,-93.49860154814476,42.90876564604793
Floyd,/Users/kunsel03/Desktop/Thesis/data/extracted/Floyd/Floyd_County_Precincts_-_SOS_REVISED.shp,8,8,EPSG:4326,-93.0251564165673,42.90706672265086,-92.5539962922021,43.212983761300414
Linn,/Users/kunsel03/Desktop/Thesis/data/extracted/Linn/Linn_County_2022_Precincts_-_94.shp,94,94,EPSG:4326,-91.83526898093825,41.859601627824524,-91.36326987578997,42.29907067671787
Jones,/Users/kunsel03/Desktop/Thesis/data/extracted/Jones/Jones_County_Precincts_-_SOS_rename.shp,14,14,EPSG:4326,-91.36588383814481,41.94622467535589,-90.8980207395174,42.29646270824406
Wayne,/Users/kunsel03/Desktop/Thesis/data/extracted/Wayne/Wayne_CO.shp,4,4,EPSG:4326,-93.55697132889384,40.579947298104095,-93.0972441784951,40.898461370993616
Davis,/Users/kunsel03/Desktop/Thesis/data/extracted/Davis/Davis_County.shp,8,8,EPSG:4326,-92.63916308333769,40.59086034758553,-92.17811393513581,40.89972742629988
Cherokee,/Users/kunsel03/Desktop/Thesis/data/extracted/Cherokee/County_Cherokee_Precincts.shp,7,7,EPSG:4326,-95.86081817630429,42.56059045704085,-95.38749304981141,42.91031852524905
Montgomery,/Users/kunsel03/Desktop/Thesis/data/extracted/Montgomery/Montgomery_County_Revised_Precincts_-_CORRECTED-JF.shp,7,7,EPSG:4326,-95.38497183492876,40.900631253680665,-94.92747173324426,41.16003327283109
Winneshiek,/Users/kunsel03/Desktop/Thesis/data/extracted/Winneshiek/Winneshiek_County_Precincts_-_SOS_REVISED.shp,12,12,EPSG:4326,-92.08127917575827,43.0816608156946,-91.60399906530758,43.50090286060632
Webster,/Users/kunsel03/Desktop/Thesis/data/extracted/Webster/Webster_County_Precincts_-_SOS_REVISED.shp,19,19,EPSG:4326,-94.44359077351146,42.209055500593486,-93.93158758622229,42.645199565282674
Page,/Users/kunsel03/Desktop/Thesis/data/extracted/Page/County_Page_Precincts.shp,9,9,EPSG:4326,-95.38549081659758,40.575075207353585,-94.91313168892594,40.901557230458714
Cerro Gordo,/Users/kunsel03/Desktop/Thesis/data/extracted/Cerro Gordo/County_Cerro_Gordo_Precinct_Maps.shp,10,10,EPSG:4326,-93.4986245492504,42.90750269104055,-93.02297543106506,43.255714729041244
Buena Vista,/Users/kunsel03/Desktop/Thesis/data/extracted/Buena Vista Precinct Boundaries.zip/BuenaVistaPrecincts.shp,9,9,EPSG:4326,-95.38826103609912,42.560316519899935,-94.91383593419216,42.910146546560824
Des Moines,/Users/kunsel03/Desktop/Thesis/data/extracted/Des Moines/County_DesMoines_Precinct_Map.shp,17,17,EPSG:4326,-91.40945973162395,40.696308454432035,-90.94225962217293,41.07418050968208
Mitchell,/Users/kunsel03/Desktop/Thesis/data/extracted/Mitchell/Mitchell_Co_Precicint_Plan_-_SOS_revised.shp,12,12,EPSG:4326,-93.02451648181273,43.21248076772909,-92.55313535528835,43.50029181967598
Hamilton,/Users/kunsel03/Desktop/Thesis/data/extracted/Hamilton/Hamilton_County_Precincts_-_FINAL.shp,7,7,EPSG:4326,-93.97162463710121,42.209150552912355,-93.46264248702268,42.55814658161432
Lee,/Users/kunsel03/Desktop/Thesis/data/extracted/Lee/Lee_County_Revised_Precinct_Plan_-_SOS.shp,22,22,EPSG:4326,-91.71880181830342,40.37544738014873,-91.11247363629286,40.81391444399277
Louisa,/Users/kunsel03/Desktop/Thesis/data/extracted/Louisa/Louisa_County_Final_Plan.shp,5,5,EPSG:4326,-91.48601079524005,41.07271752756991,-90.94626662940672,41.42423355615117
Washington,/Users/kunsel03/Desktop/Thesis/data/extracted/Washington/County_Washington_Proposed_Amend.shp,10,10,EPSG:4326,-91.94694593681133,41.161521490078954,-91.48386681575485,41.51174655095976
Dubuque,/Users/kunsel03/Desktop/Thesis/data/extracted/Dubuque/Revision_2_2.shp,34,34,EPSG:4326,-91.13444583983978,42.294641746192944,-90.4738046306202,42.675089794986626
Sac,/Users/kunsel03/Desktop/Thesis/data/extracted/Sac/Sac.shp,9,9,EPSG:4326,-95.38818902294604,42.20969946964968,-94.8566618722519,42.56174948853941
