iteration,node,from_district,to_district,score
1,Appanoose_3_26,26,24,0.7083134193683713
2,Scott_61_94,94,97,0.7083139277497932
3,Linn_44_83,83,80,0.7083140683713133
4,Dubuque_3_65,65,72,0.7083148827131392
5,Dubuque_1_72,72,71,0.7083151326655732
6,Linn_76_84,84,77,0.7083152704069385
7,Muscatine_12_95,95,82,0.708353821338552
8,Johnson_31_89,89,92,0.7083540887592477
9,Muscatine_13_95,95,82,0.7083546701849559
10,Johnson_25_85,85,90,0.7083549461231249
11,Linn_93_83,83,78,0.7083551431480939
12,Johnson_64_85,85,86,0.7083672132191148
13,Woodbury_12_1,1,2,0.7083674110671203
14,Muscatine_23_82,82,96,0.7083675275774837
15,Johnson_46_91,91,85,0.7083676747620694
