district_working,population,pop_dev,pop_score,area,perimeter,pp,compactness_score,Fairness
01,744418,0.0016797919571531106,0.9932808321713875,24009348479.75206,1066674.9518016009,0.2651710115936351,0.5303420231872702,0.8081053085777405
02,736543,0.012240755875727647,0.9510369764970894,1069303207.272255,216691.75850414453,0.28617121373635096,0.5723424274727019,0.7995591568873344
03,744927,0.000997184892447785,0.9960112604302088,26544703018.197956,1149246.808040009,0.25255799576433285,0.5051159915286657,0.7996531528695916
04,750614,0.006629507400242169,0.9734819703990313,2819309504.5579815,350003.3946773385,0.28920653774295757,0.5784130754859151,0.8154544124337848
05,742979,0.003609598570337715,0.9855616057186491,10953718632.740374,760481.9992251021,0.238009103082468,0.476018206164936,0.7817442458971638
06,747062,0.0018660097699213115,0.9925359609203147,4380389694.48923,416696.2826821326,0.3170175901056162,0.6340351802112324,0.8491356486366819
07,745872,0.00027013077778115935,0.9989194768888754,13671607291.760124,754754.6483246232,0.30159063124405894,0.6031812624881179,0.8406241911285723
08,744281,0.0018635192024667247,0.9925459231901331,9763251317.97451,653751.7160955457,0.2870639450426498,0.5741278900852996,0.8251787099481998
09,743116,0.0034258713250241006,0.9862965146999036,8557645983.168723,792490.335691539,0.17122857046969542,0.34245714093939084,0.7287607651956985
10,746136,0.0006241745205752771,0.9975033019176989,4985920710.186674,466592.6120817589,0.2877925291175575,0.575585058235115,0.8287360044446652
11,746122,0.0006053994736089224,0.9975784021055643,16365781749.820526,862923.9263357944,0.2761859601415032,0.5523719202830064,0.8194958093765412
12,745685,1.9349793301992558e-05,0.9999226008267921,713514057.8496087,177441.3826056211,0.2847754668845923,0.5695509337691846,0.8277739340037491
13,754776,0.012211060648382769,0.951155757406469,9794982065.500027,939482.9498919584,0.1394555181490354,0.2789110362980708,0.6822578689631096
14,746857,0.0015910894393425458,0.9936356422426298,5759954383.540212,649936.1321815583,0.17135135572750426,0.3427027114550085,0.7332624699275813
