cong_dist_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
,52,61,119,1,233,0.46017699115044247,0.5398230088495575,0.5107296137339056,0.004291845493562232
01,163267,154296,169402,2335,489300,0.5141247563475594,0.4858752436524406,0.34621295728591867,0.004772123441651338
02,174691,87056,206781,2927,471455,0.6674040199123581,0.3325959800876419,0.438601775355018,0.006208439829888324
03,129531,140539,148200,2651,420921,0.4796200984929833,0.5203799015070167,0.35208507059519484,0.006298093941618499
04,203348,70120,221217,2520,497205,0.7435897435897436,0.2564102564102564,0.44492110899930615,0.005068331975744411
05,120174,178227,164753,2410,465564,0.40272653241778683,0.5972734675822132,0.3538783067419302,0.005176517084654312
06,115873,174411,161643,2655,454582,0.3991711565225779,0.6008288434774222,0.35558601088472486,0.0058405304213541235
07,137852,180990,206886,3165,528893,0.4323520740680337,0.5676479259319663,0.3911679678120149,0.005984197181660563
08,122269,171918,183638,2620,480445,0.41561659760628444,0.5843834023937156,0.38222481241349165,0.005453277690474456
09,121802,163821,163247,2687,451557,0.4264432486179334,0.5735567513820665,0.36152025104250407,0.00595052230393948
10,113481,186704,178584,2794,481563,0.37803687725902363,0.6219631227409764,0.3708424442907782,0.005801940763721466
11,121258,168126,213532,3278,506194,0.41902109308047436,0.5809789069195256,0.4218382675416935,0.006475778061375678
12,194026,64856,174901,2929,436712,0.7494765955145588,0.25052340448544125,0.40049506310795213,0.006706937295059444
13,130621,173592,191882,3426,499521,0.4293734981739768,0.5706265018260233,0.38413199845451945,0.006858570510549106
14,120436,170518,180119,2928,474001,0.4139348488077153,0.5860651511922846,0.3799970886137371,0.006177202157801355
