iteration,node,from_district,to_district,score
1,50001500105_CHI-5,CHI-5,ADD-3,0.4108347746718389
2,50023502317_ORA-3,ORA-3,WAS-1,0.4178196339262872
3,50025502503_WDH-9,WDH-9,WDH-8,0.4222398074929596
4,50021502121_RUT-6,RUT-6,RUT-5,0.4298252234747975
5,50007500704_CHI-19,CHI-19,CHI-17,0.4346928861128903
6,50007500704_CHI-15,CHI-15,CHI-16,0.4395359537379975
7,50015501507_LAM-2,LAM-2,LAM-WAS,0.4430402268376311
8,50027502717_WDR-4,WDR-4,WDR-ORA-1,0.44759383350024723
9,50025502502_WDH-1,WDH-1,WDH-7,0.451790145257087
10,50003500302_BEN-1,BEN-1,BEN-2,0.4568181053820286
