house_id,base_Fairness,base_pop_score,base_compactness_score,opt_Fairness,opt_pop_score,opt_compactness_score,delta_pop_score,delta_compactness_score,delta_fairness,frontier_relative_base,frontier_relative_opt
ADD-1,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
ADD-2,0.25737595469057645,0.0,0.643439886726441,0.25737595469057645,0.0,0.643439886726441,0.0,0.0,0.0,-2.8774482879988352,-2.8774482879988352
ADD-3,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
ADD-4,0.6127624999897823,0.354604166649637,1.0,0.6127624999897823,0.354604166649637,1.0,0.0,0.0,0.0,4.0317880337657455,4.0317880337657455
ADD-5,0.20567777081389985,0.0,0.5141944270347496,0.20567777081389985,0.0,0.5141944270347496,0.0,0.0,0.0,-3.8825369007634785,-3.8825369007634785
ADD-RUT,0.3868906775315805,0.0,0.9672266938289512,0.3868906775315805,0.0,0.9672266938289512,0.0,0.0,0.0,-0.35949188505468077,-0.35949188505468077
BEN-1,0.36251536502406284,0.0,0.906288412560157,0.9105630186426918,0.9134039191388451,0.9063016678984618,0.9134039191388451,1.3255338304762887e-05,0.548047653618629,-0.8333837550733175,9.821467433093336
BEN-2,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
BEN-3,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
BEN-4,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
BEN-5,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
BEN-RUT,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
CAL-1,0.5557166515343324,0.4493211844879065,0.7153098521039711,0.5557166515343324,0.4493211844879065,0.7153098521039711,0.0,0.0,0.0,2.9227329686044103,2.9227329686044103
CAL-2,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
CAL-3,0.3149303127545754,0.0,0.7873257818864384,0.3149303127545754,0.0,0.7873257818864384,0.0,0.0,0.0,-1.7585070493066612,-1.7585070493066612
